uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
921,220968,One Shot,Lee Child,4.21,103818,505,7,Jack Reacher,9
921,4031,Lunar Park,Bret Easton Ellis,3.67,35982,505,6,,
923,1232140,The Serpent's Tale,Ariana Franklin,3.96,12248,504,8,Mistress of the Art of Death,2
924,148465,Forever,Pete Hamill,3.95,11904,503,6,,
924,11367726,Defending Jacob,William Landay,3.98,286265,503,7,,
926,8664368,The Finkler Question,Howard Jacobson,2.80,14545,501,6,,
927,10400575,Witch Song,Amber Argyle,3.68,5374,500,5,Witch Song,1
927,17567854,Intermix Nation,M.P. Attardo,4.15,202,500,5,,
927,26114523,The Summer that Melted Everything,Tiffany   McDaniel,3.97,8017,500,5,,
927,26059449,Freaks I've Met,Donald Jans,3.92,3303,500,5,,
927,55681310,First Light,R.L.  Douglas,4.00,4,500,5,Globiuz,1
932,8928799,A Spy at Home,Joseph Rinaldo,3.71,38,499,5,,
932,21446984,Twisted,Lola Smirnova,3.81,188,499,5,Twisted,1
934,12260642,I am an Island,Jonathan Culver,3.81,21,498,5,,
934,22404111,Clearly's Corruption,Taylor Ann Bunker,4.44,39,498,5,Witch In The Woods,2
936,3314550,The Gates to Love and War,Janie Pendleton,4.59,29,497,5,,
936,18715583,Palette of Love,Ashok  Kallarakkal,3.95,20,497,5,,
936,21865943,Regular People of The Weak: A Rebel's Experience With The Spiritual Chief of Poets,Shareef Mabrouk,4.80,10,497,5,,
936,25278965,Pregnancy and Men,Pratik Patil,3.85,47,497,5,,
936,13643567,The Evolution of Mara Dyer,Michelle Hodkin,4.23,93019,497,7,Mara Dyer,2
941,1472878,Firefly Lane,Kristin Hannah,4.12,283090,496,6,Firefly Lane,1
942,8621462,A Monster Calls,Patrick Ness,4.31,239944,494,7,,
942,22882294,The Tainted Trust,Stephen Douglass,3.96,3449,494,5,The King Trilogy,2
944,17801272,Trust: Pandora's Box (TRUST Trilogy #3; TRUST Universe #6-8),Cristiane Serruya,3.93,179,490,5,,
944,16151178,The Sea of Tranquility,Katja Millay,4.29,83043,490,7,,
946,25613472,A List of Cages,Robin Roe,4.28,21821,489,5,,
947,599146,Madame de Stäel,Maria Fairweather,4.24,126,488,5,,
948,115076,Love Walked In,Marisa de los Santos,3.72,36264,487,6,Love Walked In,1
949,43930,Gone for Good,Harlan Coben,4.10,55459,486,6,,
949,10911,Second Glance,Jodi Picoult,3.80,43466,486,7,,
949,4699575,Daemon,Daniel Suarez,4.16,46750,486,7,Daemon,1
949,25001951,Secret Deceptions,James Sillwood,4.46,48,486,5,Amatore's Restaurant,1
949,25437891,The V Girl: a Coming of Age Story,Mya Robarts,4.02,14755,486,5,,
954,45369,Arthur &amp; George,Julian Barnes,3.74,18712,485,7,,
955,9284655,Tiger's Curse,Colleen Houck,4.06,59519,484,6,The Tiger Saga,1
956,101334,Remainder,Tom McCarthy,3.66,6910,483,5,,
